name,author,publisher,listprice,price,page,isbn10
2020 간호사국가시험 핵심 문제집 성인간호학,한국간호과학회,한국간호과학회,35000,35000,,899359340X
특수교육 과정 중심 평가,한경화,교육과학사,13000,13000,262,8925413574
발달심리학,정옥분,학지사,30000,29100,,9788999717161
행정법강의,박균성,(주)박영사,65000,65000,"1,520",1130333108
건설공사 스마트 핸드북(토목),한국토지주택공사 건설관리처,건설도서,82000,73800,772,8977062403
민법의 기초,김준호,집현재,30000,30000,,9788997304875
최신 범죄심리학,이수정,학지사,25000,24250,,9788999715167
IFRS 회계원리 ,송충석,세학사,33000,33000,559,8966224288
사회학 ,정태석,한울,31000,31000,832,8946064307
유아교육개론,지성애,정민사,22000,22000,,895809608X
발달지체 영유아 조기 개입 3 - 표현언어편(1),임경옥,학지사,17000,16490,352,8999713431
생화학 길라잡이,박인국,라이프사이언스,35000,35000,,8961542850
DBT 다이어렉티컬 행동치료 워크북,마샤 리네한,더트리그룹,32000,28800,434,8996783951
기계 학습,오일석,한빛아카데미,32000,32000,664,1156641586
"하늘에서 온 글, 한글",박규현,수신제,20000,18000,249,1195465335
발달지체 영유아 조기개입 1 ,임경옥,학지사,17000,16490,388,8999713415
법률문장 어떻게 쓸 것인가,법무법인화우,(주)박영사,16000,16000,201,113033080X
이상심리학,Ronald J. Comer,시그마프레스,38000,38000,688,8968669635
사회복지현장실습의 이해와 실제,이외승,동문사,18000,18000,269,8982519254
토의·토론 수업방법 84,정문성,교육과학사,18000,18000,424,8925411601
국제정세의 이해,유현석,한울아카데미,27000,27000,,9788946059634
상담연습 ,강진령,학지사,18000,18000,368,8999710718
2016 건축구조기준 및 해설,대한건축학회,대한건축학회,65000,61750,,9788962257311
발달심리학,곽금주,학지사,27000,26190,,9788999709852
교사라면 꼭 알아야 하는 쌓기놀이의 모든 것,이화여자대학교 이화어린이연구원,파란마음,7000,7000,94,8997982419
시장경제의 이해,남상섭,현우사,24000,24000,438,8980814836
예술경영학 공연기획실무,이은미,도서출판청람(이수영),20000,20000,244,8959724998
